example_id                                                         | status | run_time        |
./spec/models/blog_spec.rb[1:2:1:5]                                | passed | 0.09716 seconds |
./spec/models/blog_spec.rb[1:2:2:1]                                | passed | 0.00517 seconds |
./spec/models/blog_spec.rb[1:2:2:2]                                | passed | 0.01222 seconds |
./spec/models/blog_spec.rb[1:2:2:3]                                | passed | 0.01139 seconds |
./spec/models/blog_spec.rb[1:2:2:4]                                | passed | 0.00668 seconds |
./spec/models/blog_spec.rb[1:2:2:5]                                | passed | 0.00875 seconds |
./spec/models/blog_spec.rb[1:2:2:6]                                | passed | 0.01096 seconds |
./spec/models/blog_spec.rb[1:2:2:7]                                | passed | 0.01216 seconds |
./spec/models/blog_spec.rb[1:2:2:8]                                | passed | 0.00644 seconds |
./spec/models/blog_spec.rb[1:2:2:9]                                | passed | 0.00853 seconds |
./spec/models/blog_spec.rb[1:2:2:10]                               | passed | 0.01364 seconds |
./spec/models/blog_spec.rb[1:2:2:11]                               | passed | 0.01372 seconds |
./spec/models/blog_spec.rb[1:2:3:1]                                | passed | 0.00631 seconds |
./spec/models/blog_spec.rb[1:2:3:2]                                | passed | 0.00812 seconds |
./spec/models/blog_spec.rb[1:2:3:3]                                | passed | 0.00541 seconds |
./spec/models/blog_spec.rb[1:2:3:4]                                | passed | 0.00859 seconds |
./spec/models/blog_spec.rb[1:3:1]                                  | passed | 0.02693 seconds |
./spec/models/blog_spec.rb[1:3:2]                                  | passed | 0.0389 seconds  |
./spec/models/blog_spec.rb[1:4:1:1]                                | passed | 0.07184 seconds |
./spec/models/blog_spec.rb[1:5:1]                                  | passed | 0.03283 seconds |
./spec/models/blog_spec.rb[1:6:1]                                  | passed | 0.00292 seconds |
./spec/models/blog_spec.rb[1:6:2]                                  | passed | 0.02318 seconds |
./spec/models/blog_spec.rb[1:6:3]                                  | passed | 0.03912 seconds |
./spec/models/blog_spec.rb[1:6:4]                                  | passed | 0.02867 seconds |
./spec/models/blog_spec.rb[1:7:1]                                  | passed | 0.02754 seconds |
./spec/models/blog_spec.rb[1:7:2]                                  | passed | 0.03288 seconds |
./spec/models/booking_spec.rb[1:1:1]                               | passed | 0.00401 seconds |
./spec/models/booking_spec.rb[1:1:2]                               | passed | 0.00314 seconds |
./spec/models/booking_spec.rb[1:1:3]                               | passed | 0.00313 seconds |
./spec/models/booking_spec.rb[1:1:4]                               | passed | 0.00327 seconds |
./spec/models/booking_spec.rb[1:2:1]                               | passed | 0.00289 seconds |
./spec/models/booking_spec.rb[1:2:2]                               | passed | 0.00222 seconds |
./spec/models/booking_spec.rb[1:3:1]                               | passed | 0.00496 seconds |
./spec/models/booking_spec.rb[1:3:2]                               | passed | 0.00477 seconds |
./spec/models/booking_spec.rb[1:3:3]                               | passed | 0.00574 seconds |
./spec/models/booking_spec.rb[1:3:4]                               | passed | 0.00443 seconds |
./spec/models/booking_spec.rb[1:3:5]                               | passed | 0.00637 seconds |
./spec/models/booking_spec.rb[1:3:6]                               | passed | 0.01044 seconds |
./spec/models/booking_spec.rb[1:3:7]                               | passed | 0.01179 seconds |
./spec/models/booking_spec.rb[1:3:8:1]                             | passed | 0.08079 seconds |
./spec/models/booking_spec.rb[1:3:8:2]                             | passed | 0.0827 seconds  |
./spec/models/booking_spec.rb[1:3:9:1]                             | passed | 0.10863 seconds |
./spec/models/booking_spec.rb[1:3:9:2]                             | passed | 0.09576 seconds |
./spec/models/booking_spec.rb[1:3:9:3]                             | passed | 0.09676 seconds |
./spec/models/booking_spec.rb[1:4:1]                               | passed | 0.00357 seconds |
./spec/models/booking_spec.rb[1:5:1:1]                             | passed | 0.18269 seconds |
./spec/models/booking_spec.rb[1:5:2:1]                             | passed | 0.18013 seconds |
./spec/models/booking_spec.rb[1:5:3:1]                             | passed | 0.27563 seconds |
./spec/models/booking_spec.rb[1:6:1:1]                             | passed | 0.01018 seconds |
./spec/models/booking_spec.rb[1:6:1:2]                             | passed | 0.01133 seconds |
./spec/models/booking_spec.rb[1:6:2:1]                             | passed | 0.01416 seconds |
./spec/models/booking_spec.rb[1:6:2:2]                             | passed | 0.0102 seconds  |
./spec/models/booking_spec.rb[1:6:2:3]                             | passed | 0.01125 seconds |
./spec/models/booking_spec.rb[1:6:3:1]                             | passed | 0.01075 seconds |
./spec/models/booking_spec.rb[1:6:3:2]                             | passed | 0.01087 seconds |
./spec/models/booking_spec.rb[1:6:3:3]                             | passed | 0.01058 seconds |
./spec/models/booking_spec.rb[1:6:4:1]                             | passed | 0.01413 seconds |
./spec/models/booking_spec.rb[1:6:4:2]                             | passed | 0.01085 seconds |
./spec/models/booking_spec.rb[1:6:5:1]                             | passed | 0.10754 seconds |
./spec/models/booking_spec.rb[1:6:5:2]                             | passed | 0.09496 seconds |
./spec/models/booking_spec.rb[1:6:5:3]                             | passed | 0.0944 seconds  |
./spec/models/booking_spec.rb[1:7:1:1]                             | passed | 0.07021 seconds |
./spec/models/booking_spec.rb[1:7:2:1]                             | passed | 0.07655 seconds |
./spec/models/booking_spec.rb[1:7:3:1]                             | passed | 0.07161 seconds |
./spec/models/booking_spec.rb[1:7:4:1]                             | passed | 0.07064 seconds |
./spec/models/booking_spec.rb[1:7:5:1]                             | passed | 0.07031 seconds |
./spec/models/booking_spec.rb[1:7:6]                               | passed | 0.00764 seconds |
./spec/models/booking_spec.rb[1:8:1:1]                             | passed | 0.08663 seconds |
./spec/models/booking_spec.rb[1:8:1:2]                             | passed | 0.08964 seconds |
./spec/models/booking_spec.rb[1:8:1:3]                             | passed | 0.09098 seconds |
./spec/models/booking_spec.rb[1:8:2:1]                             | passed | 0.09908 seconds |
./spec/models/booking_spec.rb[1:8:2:2]                             | passed | 0.09421 seconds |
./spec/models/booking_spec.rb[1:9:1]                               | passed | 0.09334 seconds |
./spec/models/car_document_spec.rb[1:1:1]                          | passed | 0.00301 seconds |
./spec/models/car_document_spec.rb[1:2:1]                          | passed | 0.01074 seconds |
./spec/models/car_document_spec.rb[1:2:2]                          | passed | 0.00768 seconds |
./spec/models/car_document_spec.rb[1:3:1]                          | passed | 0.00289 seconds |
./spec/models/car_document_spec.rb[1:4:1]                          | passed | 0.09915 seconds |
./spec/models/car_document_spec.rb[1:4:2]                          | passed | 0.10082 seconds |
./spec/models/car_document_spec.rb[1:4:3]                          | passed | 0.08497 seconds |
./spec/models/car_feature_spec.rb[1:1:1]                           | passed | 0.0034 seconds  |
./spec/models/car_feature_spec.rb[1:1:2]                           | passed | 0.00438 seconds |
./spec/models/car_feature_spec.rb[1:2]                             | passed | 0.07964 seconds |
./spec/models/car_spec.rb[1:1:1]                                   | passed | 0.02954 seconds |
./spec/models/car_spec.rb[1:1:2]                                   | passed | 0.05335 seconds |
./spec/models/car_spec.rb[1:1:3]                                   | passed | 0.00556 seconds |
./spec/models/car_spec.rb[1:1:4]                                   | passed | 0.00615 seconds |
./spec/models/car_spec.rb[1:1:5]                                   | passed | 0.005 seconds   |
./spec/models/car_spec.rb[1:1:6]                                   | passed | 0.00318 seconds |
./spec/models/car_spec.rb[1:2:1]                                   | passed | 0.01902 seconds |
./spec/models/car_spec.rb[1:2:2]                                   | passed | 0.0184 seconds  |
./spec/models/car_spec.rb[1:2:3:1]                                 | passed | 0.01799 seconds |
./spec/models/car_spec.rb[1:3:1:1]                                 | passed | 0.13825 seconds |
./spec/models/car_spec.rb[1:3:2:1]                                 | passed | 0.27693 seconds |
./spec/models/car_spec.rb[1:3:2:2]                                 | passed | 0.32673 seconds |
./spec/models/car_spec.rb[1:3:2:3]                                 | passed | 0.28595 seconds |
./spec/models/car_spec.rb[1:3:2:4]                                 | passed | 0.32694 seconds |
./spec/models/car_spec.rb[1:3:3:1]                                 | passed | 0.13341 seconds |
./spec/models/car_spec.rb[1:4:1]                                   | passed | 0.00621 seconds |
